gene_id	symbol	biotype	description
ENSG00000139292	LGR5	protein_coding	leucine rich repeat containing G protein-coupled receptor 5
ENSG00000138688	BLTP1	protein_coding	bridge-like lipid transfer protein family member 1
ENSG00000173821	RNF213	protein_coding	ring finger protein 213
ENSG00000167986	DDB1	protein_coding	damage specific DNA binding protein 1
ENSG00000116641	DOCK7	protein_coding	dedicator of cytokinesis 7
ENSG00000213983	AP1G2	protein_coding	adaptor related protein complex 1 subunit gamma 2
ENSG00000176209	SMIM19	protein_coding	small integral membrane protein 19
ENSG00000126777	KTN1	protein_coding	kinectin 1
ENSG00000276600	RAB7B	protein_coding	RAB7B, member RAS oncogene family
ENSG00000092203	TOX4	protein_coding	TOX high mobility group box family member 4
ENSG00000145715	RASA1	protein_coding	RAS p21 protein activator 1
ENSG00000169905	TOR1AIP2	protein_coding	torsin 1A interacting protein 2
ENSG00000244038	DDOST	protein_coding	dolichyl-diphosphooligosaccharide--protein glycosyltransferase non-catalytic subunit
ENSG00000105856	HBP1	protein_coding	HMG-box transcription factor 1
